# frame,sign,llx,lly,lrx,lry,ulx,uly,urx,ury
1.000000000000000000e+00,1.400000000000000000e+01,6.900000000000000000e+02,3.860000000000000000e+02,7.130000000000000000e+02,4.000000000000000000e+02,7.000000000000000000e+02,4.180000000000000000e+02,7.230000000000000000e+02,4.320000000000000000e+02
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.230000000000000000e+02,8.100000000000000000e+01,2.630000000000000000e+02,2.900000000000000000e+01,3.170000000000000000e+02,1.200000000000000000e+02,3.570000000000000000e+02
2.000000000000000000e+00,1.400000000000000000e+01,7.860000000000000000e+02,3.900000000000000000e+02,8.120000000000000000e+02,4.030000000000000000e+02,7.970000000000000000e+02,4.200000000000000000e+02,8.230000000000000000e+02,4.330000000000000000e+02
2.000000000000000000e+00,1.400000000000000000e+01,0.000000000000000000e+00,1.360000000000000000e+02,5.200000000000000000e+01,1.680000000000000000e+02,1.500000000000000000e+01,2.100000000000000000e+02,8.000000000000000000e+01,2.420000000000000000e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.800000000000000000e+01,2.210000000000000000e+02,1.790000000000000000e+02,2.630000000000000000e+02,1.270000000000000000e+02,3.190000000000000000e+02,2.180000000000000000e+02,3.610000000000000000e+02
3.000000000000000000e+00,1.400000000000000000e+01,8.860000000000000000e+02,3.920000000000000000e+02,9.160000000000000000e+02,4.060000000000000000e+02,8.990000000000000000e+02,4.240000000000000000e+02,9.290000000000000000e+02,4.380000000000000000e+02
3.000000000000000000e+00,1.400000000000000000e+01,9.100000000000000000e+01,1.360000000000000000e+02,1.540000000000000000e+02,1.680000000000000000e+02,1.180000000000000000e+02,2.100000000000000000e+02,1.810000000000000000e+02,2.420000000000000000e+02
4.000000000000000000e+00,1.000000000000000000e+00,1.870000000000000000e+02,2.110000000000000000e+02,2.780000000000000000e+02,2.540000000000000000e+02,2.260000000000000000e+02,3.110000000000000000e+02,3.170000000000000000e+02,3.540000000000000000e+02
4.000000000000000000e+00,1.400000000000000000e+01,9.970000000000000000e+02,3.980000000000000000e+02,1.020000000000000000e+03,4.110000000000000000e+02,1.007000000000000000e+03,4.280000000000000000e+02,1.030000000000000000e+03,4.410000000000000000e+02
4.000000000000000000e+00,1.400000000000000000e+01,1.950000000000000000e+02,1.310000000000000000e+02,2.580000000000000000e+02,1.630000000000000000e+02,2.220000000000000000e+02,2.050000000000000000e+02,2.850000000000000000e+02,2.370000000000000000e+02
5.000000000000000000e+00,1.000000000000000000e+00,2.800000000000000000e+02,2.040000000000000000e+02,3.730000000000000000e+02,2.480000000000000000e+02,3.200000000000000000e+02,3.060000000000000000e+02,4.130000000000000000e+02,3.500000000000000000e+02
5.000000000000000000e+00,1.400000000000000000e+01,1.107000000000000000e+03,4.010000000000000000e+02,1.130000000000000000e+03,4.150000000000000000e+02,1.117000000000000000e+03,4.340000000000000000e+02,1.140000000000000000e+03,4.480000000000000000e+02
5.000000000000000000e+00,1.400000000000000000e+01,2.900000000000000000e+02,1.250000000000000000e+02,3.510000000000000000e+02,1.570000000000000000e+02,3.160000000000000000e+02,1.990000000000000000e+02,3.770000000000000000e+02,2.310000000000000000e+02
6.000000000000000000e+00,1.000000000000000000e+00,3.680000000000000000e+02,1.960000000000000000e+02,4.620000000000000000e+02,2.400000000000000000e+02,4.080000000000000000e+02,2.980000000000000000e+02,5.020000000000000000e+02,3.420000000000000000e+02
