frameNumber,signType,llx,lly,lrx,lry,ulx,uly,urx,ury
59,14,932,216,942,216,932,232,942,232
60,14,934,216,944,216,934,232,944,232
61,14,936,217,947,217,936,233,947,233
62,14,937,217,952,217,937,233,952,233
63,14,938,217,951,217,938,234,951,234
64,14,939,217,953,217,939,234,953,234
65,14,941,217,955,217,941,234,955,234
66,14,943,217,958,217,943,235,958,235
67,14,945,217,960,217,945,235,960,235
68,14,947,217,962,217,947,235,962,235
69,14,949,217,964,217,949,237,964,237
70,14,951,216,966,216,951,236,966,236
71,14,953,214,969,214,953,237,969,237
72,14,955,215,971,215,955,238,971,238
73,14,957,215,976,215,957,238,976,238
74,14,959,215,978,215,959,238,978,238
75,14,961,214,981,214,961,237,981,237
76,14,968,212,984,212,968,235,984,235
77,14,971,212,987,212,971,234,987,234
78,14,974,213,993,213,974,235,993,235
79,14,978,214,997,214,978,236,997,236
80,14,982,215,1001,215,982,237,1001,237
81,14,986,215,1005,215,986,239,1005,239
82,14,990,213,1009,213,990,237,1009,237
83,14,994,210,1016,210,994,235,1016,235
84,14,998,209,1021,209,998,235,1021,235
85,14,1003,206,1026,206,1003,233,1026,233
86,14,1008,205,1031,205,1008,232,1031,232
87,14,1013,205,1037,205,1013,233,1037,233
88,14,1018,204,1042,204,1018,232,1042,232
89,14,1023,203,1047,203,1023,231,1047,231
90,14,1030,200,1054,200,1030,233,1054,233
91,14,1036,197,1061,197,1036,230,1061,230
92,14,1042,195,1067,195,1042,229,1067,229
93,14,1048,195,1073,195,1048,229,1073,229
94,14,1055,193,1083,193,1055,228,1083,228
95,14,1062,192,1090,192,1062,227,1090,227
96,14,1070,192,1101,192,1070,229,1101,229
97,14,1079,192,1110,192,1079,230,1110,230
98,14,1088,192,1120,192,1088,230,1120,230
99,14,1101,188,1134,188,1101,230,1134,230
100,14,1112,186,1145,186,1112,228,1145,228
101,14,1123,184,1158,184,1123,229,1158,229
102,14,1136,184,1173,184,1136,230,1173,230
103,14,1151,182,1188,182,1151,228,1188,228
104,14,1167,181,1204,181,1167,227,1204,227
105,14,1182,177,1223,177,1182,230,1223,230
106,14,1201,175,1242,175,1201,228,1242,228
107,14,1220,166,1264,166,1220,225,1264,225
108,14,1242,165,1287,165,1242,224,1287,224
109,14,1267,164,1312,164,1267,229,1312,229
110,14,1291,157,1344,157,1291,229,1344,229
111,14,1322,159,1378,159,1322,231,1378,231
112,14,1356,160,1412,160,1356,232,1412,232
113,14,1397,149,1458,149,1397,229,1458,229
114,14,1440,142,1512,142,1440,231,1512,231
115,14,1490,136,1570,136,1490,232,1570,232
116,14,1562,131,1626,131,1562,232,1626,232
202,14,637,232,647,232,637,244,647,244
203,14,635,232,645,232,635,242,645,242
204,14,633,231,643,231,633,241,643,241
205,14,631,230,641,230,631,240,641,240
206,14,629,230,639,230,629,240,639,240
207,14,627,231,637,231,627,241,637,241
207,14,564,233,574,233,564,245,574,245
208,14,625,231,635,231,625,241,635,241
208,14,561,233,571,233,561,245,571,245
209,14,623,231,633,231,623,241,633,241
209,14,558,233,568,233,558,245,568,245
210,14,621,231,631,231,621,241,631,241
210,14,556,233,566,233,556,245,566,245
211,14,619,231,629,231,619,241,629,241
211,14,553,232,563,232,553,244,563,244
212,14,617,230,627,230,617,240,627,240
212,14,550,231,560,231,550,243,560,243
213,14,615,230,625,230,615,240,625,240
213,14,548,231,558,231,548,243,558,243
214,14,613,231,623,231,613,241,623,241
214,14,546,232,556,232,546,244,556,244
215,14,611,232,621,232,611,242,621,242
215,14,543,233,553,233,543,245,553,245
216,14,609,231,619,231,609,241,619,241
216,14,540,232,550,232,540,244,550,244
217,14,607,231,617,231,607,241,617,241
217,14,537,232,547,232,537,244,547,244
218,14,605,231,615,231,605,241,615,241
218,14,534,232,544,232,534,244,544,244
219,14,603,231,613,231,603,241,613,241
219,14,531,232,541,232,531,244,541,244
220,14,600,231,610,231,600,241,610,241
220,14,529,233,539,233,529,245,539,245
221,14,598,230,608,230,598,240,608,240
221,14,526,232,536,232,526,244,536,244
222,14,596,230,606,230,596,240,606,240
222,14,523,232,533,232,523,244,533,244
223,14,594,230,604,230,594,242,604,242
223,14,520,232,530,232,520,244,530,244
224,14,591,229,601,229,591,241,601,241
224,14,517,231,527,231,517,243,527,243
225,14,588,229,598,229,588,241,598,241
225,14,515,231,525,231,515,243,525,243
226,14,585,232,595,232,585,244,595,244
226,14,511,234,521,234,511,246,521,246
227,14,582,231,592,231,582,243,592,243
227,14,507,232,517,232,507,246,517,246
228,14,579,229,589,229,579,241,589,241
228,14,503,230,513,230,503,244,513,244
229,14,576,229,586,229,576,241,586,241
229,14,500,230,510,230,500,244,510,244
230,14,573,229,583,229,573,241,583,241
230,14,497,231,507,231,497,245,507,245
231,14,570,228,580,228,570,240,580,240
231,14,494,230,504,230,494,244,504,244
232,14,568,228,578,228,568,240,578,240
232,14,491,230,501,230,491,244,501,244
233,14,566,231,576,231,566,243,576,243
233,14,489,233,499,233,489,247,499,247
234,14,564,232,574,232,564,244,574,244
234,14,487,234,497,234,487,248,497,248
235,14,562,232,572,232,562,244,572,244
235,14,484,234,494,234,484,248,494,248
236,14,561,232,571,232,561,244,571,244
236,14,482,234,492,234,482,248,492,248
237,14,560,233,570,233,560,245,570,245
237,14,480,235,490,235,480,249,490,249
238,14,558,233,568,233,558,245,568,245
238,14,478,235,488,235,478,249,488,249
239,14,557,232,567,232,557,244,567,244
239,14,476,234,486,234,476,248,486,248
240,14,556,232,566,232,556,244,566,244
240,14,474,234,484,234,474,248,484,248
241,14,555,232,565,232,555,244,565,244
241,14,472,234,482,234,472,248,482,248
242,14,553,233,563,233,553,245,563,245
242,14,470,235,480,235,470,249,480,249
243,14,552,233,562,233,552,245,562,245
243,14,468,235,478,235,468,249,478,249
244,14,550,231,560,231,550,243,560,243
244,14,466,233,476,233,466,247,476,247
245,14,548,231,558,231,548,243,558,243
245,14,463,233,473,233,463,247,473,247
246,14,546,232,556,232,546,244,556,244
246,14,460,234,470,234,460,248,470,248
247,14,543,232,553,232,543,244,553,244
247,14,456,234,466,234,456,248,466,248
248,14,539,232,549,232,539,244,549,244
248,14,451,234,461,234,451,248,461,248
249,14,534,231,544,231,534,245,544,245
249,14,445,233,455,233,445,247,455,247
250,14,529,232,539,232,529,246,539,246
250,14,439,234,449,234,439,248,449,248
251,14,523,234,533,234,523,248,533,248
251,14,433,235,443,235,433,249,443,249
252,14,517,232,527,232,517,246,527,246
252,14,426,233,436,233,426,247,436,247
253,14,510,231,520,231,510,245,520,245
253,14,418,232,428,232,418,247,428,247
254,14,503,231,513,231,503,245,513,245
254,14,410,232,420,232,410,247,420,247
255,14,495,229,505,229,495,243,505,243
255,14,401,230,411,230,401,245,411,245
256,14,486,229,496,229,486,243,496,243
256,14,391,230,401,230,391,245,401,245
257,14,476,228,486,228,476,242,486,242
257,14,380,229,390,229,380,244,390,244
258,14,464,226,474,226,464,240,474,240
258,14,366,231,376,231,366,246,376,246
259,14,449,227,461,227,449,241,461,241
259,14,351,231,361,231,351,245,361,245
260,14,434,229,446,229,434,243,446,243
260,14,335,233,345,233,335,247,345,247
261,14,418,229,430,229,418,245,430,245
261,14,318,233,328,233,318,247,328,247
262,14,402,234,414,234,402,249,414,249
262,14,300,235,313,235,300,249,313,249
263,14,382,236,394,236,382,251,394,251
263,14,280,236,293,236,280,250,293,250
264,14,258,236,271,236,258,250,271,250
265,14,235,236,248,236,235,250,248,250
266,14,210,236,223,236,210,250,223,250
267,14,182,235,195,235,182,249,195,249
268,14,152,235,165,235,152,249,165,249
269,14,119,236,132,236,119,250,132,250
270,14,82,235,96,235,82,253,96,253
271,14,42,238,57,238,42,254,57,254
272,14,1,240,16,240,1,256,16,256
